交易,開盤,最高,最低,收盤,漲跌,漲跌,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),,,,,,,,,持股,,,,,比
,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
3月11日,19.85,19.95,19.65,19.65,-0.2,-1.01%,"7,275","2,848",2.6,1.4,"-3,006",0,-21,"-3,027",31.4,463,"38,792",23,"2,526",6.5
3月8日,20.1,20.15,19.8,19.85,-0.3,-1.49%,"8,505","3,290",2.6,1.7,"-2,894",0,-80,"-2,974",31.5,190,"38,329",-252,"2,503",6.5
3月7日,20.6,20.75,20.1,20.15,-0.6,-2.89%,"8,880","3,482",2.6,1.8,"-3,386",0,-294,"-3,680",31.6,772,"38,139",-92,"2,755",7.2
3月6日,20.6,20.85,20.5,20.75,0.15,0.73%,"8,375","2,903",2.9,1.7,"2,522",0,-193,"2,329",31.8,-215,"37,367",8,"2,847",7.6
3月5日,20.75,20.85,20.5,20.6,-0.15,-0.72%,"8,358","3,434",2.4,1.7,-186,0,-899,"-1,085",31.7,205,"37,582",-36,"2,839",7.6
3月4日,20.35,21,20.3,20.75,0.4,1.97%,"17,624","5,549",3.2,3.6,"5,254",0,"1,217","6,471",31.7,-702,"37,377",24,"2,875",7.7
2月27日,20.3,20.4,20.1,20.35,0.05,0.25%,"9,628","3,094",3.1,2,-551,-1,-116,-668,31.5,37,"38,079",-41,"2,851",7.5
2月26日,21,21.05,20.3,20.3,-0.65,-3.10%,"18,306","6,144",3,3.8,"-2,838",0,"-2,250","-5,088",31.7,724,"38,042",72,"2,892",7.6
2月25日,19.95,20.95,19.9,20.95,1.1,5.54%,"34,562","11,758",2.9,7.1,"4,581",0,"2,996","7,577",31.8,"-1,333","37,318",-36,"2,820",7.6
2月22日,19.7,19.9,19.65,19.85,0.15,0.76%,"5,637","1,941",2.9,1.1,"1,269",0,-127,"1,142",31.6,-452,"38,651",28,"2,856",7.4
