證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3049","和鑫","38,997,086","473,103,579","12.70","12.85","11.80","12.15","-0.50","8,205"
"3050","鈺德","422,884","4,230,706","10.15","10.15","9.94","9.94","-0.06","182"
"3051","力特","94,187","298,801","3.10","3.22","3.10","3.20","+0.10","30"
"3052","夆典","428,642","3,404,029","7.96","8.14","7.85","8.14","+0.23","78"
"3054","立萬利","26,005","646,773","24.80","24.95","24.60","24.90","+0.05","16"
"3055","蔚華科","21,084","542,481","26.00","26.00","25.50","25.60","+0.10","22"
"3056","總太","455,206","9,051,151","20.00","20.10","19.60","19.80"," 0.00","264"
"3057","喬鼎","314,178","2,085,411","6.92","6.92","6.50","6.54","-0.37","143"
"3058","立德","202,452","1,632,431","8.15","8.20","8.02","8.08","-0.07","59"
"3059","華晶科","1,049,678","24,619,879","23.50","23.85","23.30","23.50","-0.10","530"
"3060","銘異","348,204","4,842,651","14.05","14.20","13.75","13.75","-0.40","192"
"3062","建漢","4,389,121","65,954,524","15.00","15.45","14.70","14.85","+0.65","2,023"
"3090","日電貿","474,687","24,724,563","52.20","52.70","51.80","52.00","-0.10","372"
"3094","聯傑","31,001","544,617","17.50","17.80","17.50","17.80","+0.10","15"
"3130","一零四","2,200","373,199","169.50","170.00","169.50","170.00","+0.50","4"
"3149","正達","395,450","3,922,347","10.05","10.05","9.80","9.89","-0.09","213"
"3164","景岳","29,002","760,002","26.30","26.30","26.10","26.25","-0.25","22"
"3167","大量","195,001","7,697,890","39.45","39.75","39.30","39.30","-0.10","84"
"3189","景碩","2,626,068","101,071,114","39.00","39.05","38.10","38.30","-0.50","1,565"
"3209","全科","116,531","2,115,937","18.20","18.30","18.10","18.15","-0.10","85"
"3229","晟鈦","93,000","1,150,200","12.35","12.70","12.25","12.50","-0.20","52"
"3231","緯創","7,878,491","178,794,657","22.60","22.80","22.60","22.65","+0.10","2,949"
"3257","虹冠電","52,006","3,162,660","61.00","61.50","60.50","60.50","-0.50","51"
"3266","昇陽","483,100","5,285,404","10.95","11.00","10.90","10.95","+0.05","85"
"3296","勝德","71,002","1,196,634","16.65","17.15","16.50","17.15","+0.55","33"
"3305","昇貿","40,414","815,270","20.40","20.40","20.00","20.25","-0.15","39"
"3308","聯德","5,049","31,101","6.15","6.16","6.15","6.16"," 0.00","8"
"3311","閎暉","133,245","1,866,775","14.15","14.15","13.95","13.95","-0.05","77"
"3312","弘憶股","462,229","5,529,468","12.00","12.05","11.90","11.90"," 0.00","118"
"3321","同泰","481,100","6,936,180","14.35","14.85","14.15","14.80","+0.25","227"
"3338","泰碩","12,347,172","598,068,341","50.60","51.20","46.55","47.90","-2.60","7,612"
"3346","麗清","375,439","12,940,128","34.65","35.00","34.20","34.20","-0.85","206"
"3356","奇偶","89,557","2,543,511","28.90","28.95","28.15","28.50"," 0.00","75"
"3376","新日興","2,865,720","312,914,480","113.00","114.00","105.00","109.50","-3.00","1,889"
"3380","明泰","916,999","16,218,831","17.65","17.80","17.60","17.70"," 0.00","456"
"3383","新世紀","25,393","26,989","1.08","1.08","1.05","1.07","-0.01","12"
